ordinal,rva,target_rva,section,kind,name
1,0x00A029F0,,.data,data,?$S128@?1??GetValue@?$DefaultModuleKey@$00@FXParticleSystem@@CAPBDXZ@4IA
2,0x00A029FC,,.data,data,?$S132@?1??GetValue@?$DefaultModuleName@$00@FXParticleSystem@@CAPBDXZ@4IA
3,0x00A02A1C,,.data,data,?$S142@?1??GetValue@?$DefaultModuleKey@$0A@@FXParticleSystem@@CAPBDXZ@4IA
4,0x00A02A28,,.data,data,?$S146@?1??GetValue@?$DefaultModuleName@$0A@@FXParticleSystem@@CAPBDXZ@4IA
5,0x00A02A48,,.data,data,?$S156@?1??GetValue@?$DefaultModuleKey@$02@FXParticleSystem@@CAPBDXZ@4IA
6,0x00A02A54,,.data,data,?$S160@?1??GetValue@?$DefaultModuleName@$02@FXParticleSystem@@CAPBDXZ@4IA
7,0x00A02A74,,.data,data,?$S170@?1??GetValue@?$DefaultModuleKey@$01@FXParticleSystem@@CAPBDXZ@4IA
8,0x00A02A80,,.data,data,?$S174@?1??GetValue@?$DefaultModuleName@$01@FXParticleSystem@@CAPBDXZ@4IA
9,0x00A02AA0,,.data,data,?$S184@?1??GetValue@?$DefaultModuleKey@$06@FXParticleSystem@@CAPBDXZ@4IA
10,0x00A02AAC,,.data,data,?$S188@?1??GetValue@?$DefaultModuleName@$06@FXParticleSystem@@CAPBDXZ@4IA
11,0x00A0609C,,.data,data,?$S22@?1??GetValue@?$DefaultModuleKey@$05@FXParticleSystem@@CAPBDXZ@4IA
12,0x00A0294C,,.data,data,?$S24@?1??GetValue@?$DefaultModuleKey@$05@FXParticleSystem@@CAPBDXZ@4IA
13,0x00A060A0,,.data,data,?$S26@?1??GetValue@?$DefaultModuleName@$05@FXParticleSystem@@CAPBDXZ@4IA
14,0x00A02958,,.data,data,?$S28@?1??GetValue@?$DefaultModuleName@$05@FXParticleSystem@@CAPBDXZ@4IA
15,0x000028E8,,.text,code,??$?6D@@YAAAVDebug@@AAV0@ABV?$StringBase@D@@@Z
16,0x003A86DE,,.text,code,??0?$CategoryModuleClass@$00@FXParticleSystem@@IAE@_NPBD1@Z
17,0x003A8777,,.text,code,??0?$CategoryModuleClass@$01@FXParticleSystem@@IAE@_NPBD1@Z
18,0x003A8744,,.text,code,??0?$CategoryModuleClass@$02@FXParticleSystem@@IAE@_NPBD1@Z
19,0x003A8848,,.text,code,??0?$CategoryModuleClass@$03@FXParticleSystem@@IAE@_NPBD1@Z
20,0x003A8903,,.text,code,??0?$CategoryModuleClass@$04@FXParticleSystem@@IAE@_NPBD1@Z
21,0x003A8215,,.text,code,??0?$CategoryModuleClass@$05@FXParticleSystem@@IAE@_NPBD1@Z
22,0x003A87AA,,.text,code,??0?$CategoryModuleClass@$06@FXParticleSystem@@IAE@_NPBD1@Z
23,0x003A87DD,,.text,code,??0?$CategoryModuleClass@$07@FXParticleSystem@@IAE@_NPBD1@Z
24,0x003A8711,,.text,code,??0?$CategoryModuleClass@$0A@@FXParticleSystem@@IAE@_NPBD1@Z
25,0x001F4363,,.text,code,??0?$CategoryModuleClassBase@$00$00@FXParticleSystem@@IAE@ABV?$CategoryModuleClass@$00@1@_N@Z
26,0x001F4385,,.text,code,??0?$CategoryModuleClassBase@$01$00@FXParticleSystem@@IAE@ABV?$CategoryModuleClass@$01@1@_N@Z
27,0x001F43A7,,.text,code,??0?$CategoryModuleClassBase@$02$00@FXParticleSystem@@IAE@ABV?$CategoryModuleClass@$02@1@_N@Z
28,0x001F43EA,,.text,code,??0?$CategoryModuleClassBase@$03$00@FXParticleSystem@@IAE@ABV?$CategoryModuleClass@$03@1@_N@Z
