rva,size,name
0x1020,58,FUN_00401020
0x10CF,80,FUN_004010cf
0x1125,23,FUN_00401125
0x113D,26,FUN_0040113d
0x11B4,9,ModuleTemplate
0x11BD,7,~ModuleTemplate
0x11C4,11,ModuleTemplate
0x1236,10,EventModuleInfo
0x1240,15,operator=
0x124F,27,operator=
0x1272,6,GetSnapshotName
0x1278,25,setUV
0x12A3,15,FUN_004012a3
0x12B2,36,FUN_004012b2
0x12D6,36,FUN_004012d6
0x12FA,32,FUN_004012fa
0x131A,36,FUN_0040131a
0x133E,34,FUN_0040133e
0x1368,58,Bitmap
0x13A2,57,Bitmap
0x13DB,42,FUN_004013db
0x1405,30,FUN_00401405
0x1423,34,`vector_constructor_iterator'
0x145B,83,FUN_0040145b
0x14AE,39,ReleaseGDIPlus
0x14D5,27,FUN_004014d5
0x14F0,36,FUN_004014f0
0x1514,38,GetDC
0x153A,46,FUN_0040153a
0x15A6,34,FUN_004015a6
0x15C8,43,GetDC
0x15F3,39,FUN_004015f3
0x161A,40,FUN_0040161a
0x1642,174,FUN_00401642
0x1720,19,FUN_00401720
0x1733,18,operator=
0x1745,11,Snapshot
0x179A,5,thunk_FUN_006253c2
0x179F,1167,FUN_0040179f
0x1C72,126,FUN_00401c72
0x1D69,23,CategoryModuleTemplate<1>
0x1D80,26,FUN_00401d80
0x1D9A,18,FUN_00401d9a
0x1DAC,5,thunk_FUN_00576cb0
0x1DB1,98,FUN_00401db1
0x1E13,8,FUN_00401e13
0x1E2F,20,isEmpty
0x1E43,36,FUN_00401e43
0x1E67,24,RGBColorKeyframe
0x1E7F,47,RandomAlphaKeyframe
0x1EF9,31,CategoryModuleTemplate<8>
0x1F18,24,~CategoryModuleTemplate<1>
0x1F30,52,CategoryModuleTemplate<8>
0x1FAF,45,FUN_00401faf
0x1FDC,49,FUN_00401fdc
0x200D,260,operator=
0x2111,27,FUN_00402111
0x213F,19,FUN_0040213f
0x2152,10,FUN_00402152
0x21C7,28,FUN_004021c7
0x21E3,35,Allocate
0x2206,32,FUN_00402206
0x2226,141,FUN_00402226
0x232B,34,FUN_0040232b
0x23E3,11,FUN_004023e3
0x23EE,16,str
0x23FE,16,str
0x240E,10,~ParticleSystemInfo
0x2459,10,ParticleSystemInfo
0x2596,28,FUN_00402596
0x2600,30,getName
0x261E,27,getTextureFilename
0x2639,66,Clone
0x267B,21,FUN_0040267b
0x2690,205,FUN_00402690
0x275D,395,FUN_0040275d
0x28E8,37,operator<<<char>
0x290D,25,FUN_0040290d
0x2926,28,FUN_00402926
0x2942,28,FUN_00402942
0x295E,524,FUN_0040295e
0x2BB5,132,FUN_00402bb5
0x2C39,10,FUN_00402c39
0x319F,6,Catch@0040319f
0x31A5,55,AtlA2WHelper
0x31DC,56,AtlW2AHelper
0x3227,20,CComCriticalSection
0x323B,38,FUN_0040323b
0x3295,35,AtlWinModuleInit
0x32DA,62,FUN_004032da
0x3318,122,FUN_00403318
0x34FA,42,areApproxEqual
0x3524,11,rad2deg
0x352F,11,deg2rad
0x353A,18,operator=
0x354C,37,Coord3D
0x3571,69,length
0x35B6,86,normalize
0x360C,95,crossProduct
0x366B,18,zero
0x367D,49,sub
0x36AE,35,set
0x36D1,49,scale
0x3702,57,operator==
0x373B,26,Coord2D
0x3755,53,length
0x378A,71,normalize
0x37D1,108,GetLengthEstimate2D
0x383D,42,IsExactlyEqualTo
0x3867,35,operator*=
0x388A,41,operator/=
0x38B3,36,operator+=
0x38D7,36,operator-=
0x38FB,27,Negate
0x3916,101,Rotate
0x397B,64,Rotate
0x39BB,80,Rotate
0x3A0B,67,Rotate
0x3A4E,23,SetXAxis
0x3A65,23,SetYAxis
0x3A7C,20,SetMinVect
0x3A90,20,SetMaxVect
0x3AA4,15,SetZero
0x3AB3,27,Coord3D
0x3ACE,372,GetLengthEstimate
0x3C42,27,operator*
0x3C5D,19,operator*
0x3C70,97,CrossProduct
0x3CD1,51,operator+=
0x3D04,55,Add
0x3D3B,55,Sub
0x3D72,51,Scale
0x3DA5,55,Scale
0x3DDC,40,Negate
0x3E04,40,Add2D
0x3E2C,40,Sub2D
0x3E54,39,Scale2D
0x3E7B,46,Add
0x3EA9,46,Add
0x3ED7,53,Sub
0x3F0C,46,Sub
0x3F3A,26,Coord2D
0x3F54,28,SetXAxis
0x3F70,28,SetYAxis
0x3F8C,28,SetZAxis
0x3FA8,25,SetMinVect
0x3FC1,25,SetMaxVect
0x3FDA,20,SetZero
0x3FEE,46,operator-
0x401C,93,SetIdentity
0x4079,357,Matrix4D
0x41DE,111,Transpose
0x424D,188,Determinant
0x4309,246,operator+=
0x43FF,246,operator-=
0x44F5,233,operator*=
0x45DE,223,operator/=
0x46BD,150,TransformCoord
0x4753,135,RotateCoord
0x47DA,918,Multiply
0x4B70,79,IsExactlyEqualTo
0x4BBF,23,GetXVector
0x4BD6,24,GetYVector
0x4BEE,24,GetZVector
0x4C06,34,LineSegment2D
0x4C28,6,width
0x4C2E,55,isInside
0x4C65,72,IsExactlyEqualTo
0x4CAD,28,operator==
0x4CC9,28,operator!=
0x4CE5,19,operator+=
0x4CF8,19,operator-=
0x4D0B,25,operator*=
0x4D24,25,operator/=
0x4D3D,14,MoveBy
0x4D4B,6,width
0x4D51,7,height
0x4D58,44,operator==
0x4D84,17,operator!=
0x4D95,58,length
0x4DCF,11,zero
0x4DDA,6,width
0x4DE0,7,height
0x4DE7,7,depth
0x4DEE,33,zero
0x4E0F,55,isInRegionNoZ
0x4E46,77,isInRegionWithZ
0x4E93,6,width
0x4E99,7,height
0x4EA0,7,depth
0x4EA7,56,getAsInt
0x4EDF,76,setFromInt
0x4F2B,58,operator==
0x4F65,21,operator!=
0x4F7A,78,operator<<
0x4FC8,78,operator<<
0x5016,70,operator<<
0x505C,47,operator<<
0x508B,47,operator<<
0x50BA,103,operator<<
0x5121,91,operator<<
0x517C,47,operator<<
0x51AB,47,operator<<
0x51DA,125,operator<<
0x5257,109,operator<<
0x52F8,52,FUN_004052f8
0x5344,80,FUN_00405344
0x5394,18,operator=
0x53A6,9,Snapshot
0x53DE,9,Xfer
0x53E7,7,~Xfer
0x53EE,23,Version1
0x546C,28,operator==
0x5488,28,operator==
0x54A4,28,operator==
0x54C0,28,operator==
0x54DC,28,operator==
0x54F8,28,operator==
0x5514,28,operator==
0x5530,28,operator==
0x554C,28,operator==
0x5568,51,operator==
0x559B,21,operator!=
0x55B0,30,FUN_004055b0
0x55CE,39,operator[]
0x55F5,37,set
0x561A,15,set
0x5629,37,concat
0x564E,15,concat
0x565D,38,set
0x5683,15,set
0x5692,38,concat
0x56B8,15,concat
0x56C7,10,FUN_004056c7
0x56D1,103,Init
0x575A,39,FUN_0040575a
0x57F1,23,FUN_004057f1
0x5808,14,getLength
