name,target_rva,target_size,source,notes
?compareNoCase@WideCharCompare@@QBEHPBG0H@Z,0x00005344,80,Code/Libraries/Source/WWVegas/WWLib/string_base_compare_range.cpp,reloc-derived;call-sites=6;identity=real
??$__write_decimal_backward@J@_STL@@YAPADPADJHABU__true_type@0@@Z,0x0000D540,118,Code/Libraries/Source/WWVegas/WWLib/stlport_write_integer_backward.cpp,reloc-derived;call-sites=1;identity=real
?bfmeDoPW@@YAXPAD000@Z,0x00024FC0,135,Code/GameEngine/Source/Common/BfmeTwoHundredEightyThree.cpp,reloc-derived;call-sites=1;identity=real
?bfmeDoPA@@YAXPAX000PAE1E@Z,0x00026FF0,144,Code/GameEngine/Source/Common/BfmeTwoHundredSixtyFour.cpp,reloc-derived;call-sites=1;identity=real
?bfmeDoOV@@YAXPAX000PAE@Z,0x00027FE0,534,Code/GameEngine/Source/Common/BfmeTwoHundredFiftySeven.cpp,reloc-derived;call-sites=1;identity=real
?_M_fill_insert@?$vector@PAXV?$allocator@PAX@_STL@@@_STL@@QAEXPAPAXIABQAX@Z,0x00029CA0,525,Code/GameEngine/Source/GameLogic/Object/Armor.cpp,reloc-derived;call-sites=3;identity=real
??$__uninitialized_copy@PBVAsciiString@@PAV1@@_STL@@YAPAVAsciiString@@PBV1@0PAV1@ABU__false_type@0@@Z,0x0002C4B2,38,Code/GameEngine/Source/Common/Thing/ThingTemplate.cpp,reloc-derived;call-sites=2;identity=real
_bfmeRva0042CF86,0x0002CF86,291,Code/GameEngine/Source/Main/WinMain.cpp,reloc-derived;call-sites=1;identity=generated
?initFromINIMulti@INI@@QAEXPAXABVMultiIniFieldParse@@@Z,0x0002D7A8,10,Code/GameEngine/Source/Common/System/INI_initFromINI.cpp,reloc-derived;call-sites=2;identity=real
?getNextToken@INI@@QAEPBDPBD@Z,0x0002DF97,75,Code/GameEngine/Source/Common/System/INI_parseDurationReal.cpp,reloc-derived;call-sites=1;identity=real
?getNextAsciiString@INI@@QAE?AVAsciiString@@XZ,0x0002EA4F,233,Code/GameEngine/Source/GameLogic/Object/ObjectCreationList.cpp,reloc-derived;call-sites=3;identity=real
?scanReal@INI@@QAEMPBD@Z,0x0002EDA5,107,Code/GameEngine/Source/Common/System/INI_parseDurationReal.cpp,reloc-derived;call-sites=1;identity=real
?AddFrameEntry@Debug@@AAEPAUFrameHashEntry@1@IIPBDH@Z,0x00038FF0,223,Code/Libraries/Source/WWVegas/WWDebug/Debug_GetFrameEntry.cpp,reloc-derived;call-sites=1;identity=real
?bfmeFlushQO@BfmeThingQO@@QAEXH@Z,0x00039300,217,Code/GameEngine/Source/Common/BfmeTwoHundredNinetyEight.cpp,reloc-derived;call-sites=4;identity=real
?SimpleMatch@Debug@@SA_NPBD0@Z,0x00039480,132,Code/Libraries/Source/WWVegas/WWDebug/Rva0088A7E0UpdateFrameStatus.cpp,reloc-derived;call-sites=3;identity=real
?AddOutput@Debug@@EAEXPBDI@Z,0x00039B70,664,Code/Libraries/Source/debug/debug_debug.cpp,reloc-derived;call-sites=2;identity=real
?ExecCommand@Debug@@AAEXPBD0@Z,0x00039E20,901,Code/Libraries/Source/WWVegas/WWDebug/Debug_Update_0088C3F0.cpp,reloc-derived;call-sites=1;identity=real
_d_0088d240,0x0003C550,465,Code/GameEngine/Source/Common/Bfme/Rva00889760.cpp,reloc-derived;call-sites=1;identity=real
_realloc,0x0003E4B0,189,Code/Libraries/Source/WWVegas/WW3D2/Log_DX8_ErrorCode.cpp,reloc-derived;call-sites=4;identity=real
?Reset_D3D_Device@@YAX_N@Z,0x0004312A,278,Code/GameEngine/Source/Main/WinMain.cpp,reloc-derived;call-sites=1;identity=real
?do_insert@KeyToBucketMap@NameKeyGenerator@@AAE?AUinsert_result@12@ABUvalue_type@12@@Z,0x0005574B,112,Code/GameEngine/Source/Common/NameKeyGeneratorMapInsert.cpp,reloc-derived;call-sites=1;identity=real
?Set_DX8_Render_State@DX8Wrapper@@SAXKI@Z,0x0006615F,126,Code/Libraries/Source/WWVegas/WW3D2/ShaderClassApply.cpp,reloc-derived;call-sites=25;identity=real
?Set_DX8_Texture_Stage_State@DX8Wrapper@@SAXIKI@Z,0x000661DD,173,Code/Libraries/Source/WWVegas/WW3D2/ShaderClassApply.cpp,reloc-derived;call-sites=32;identity=real
??1BfmeRefSceneList@@UAE@XZ,0x0006F29B,68,Code/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_dtor.cpp,reloc-derived;call-sites=5;identity=real
?Reset_List@?$RefMultiListClass@VRenderObjClass@@@@QAEXXZ,0x0006F2DF,25,Code/Libraries/Source/WWVegas/WW3D2/SimpleSceneClass_Post_Render_Processing.cpp,reloc-derived;call-sites=1;identity=real
?insert@?$list@HV?$allocator@H@_STL@@@_STL@@QAE?AU?$_List_iterator@HU?$_Nonconst_traits@H@_STL@@@2@U32@@Z,0x00079CB6,94,Code/Libraries/Source/WWVegas/WWLib/stlport_list_int_o1.cpp,reloc-derived;call-sites=1;identity=real
?resize@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAEXID@Z,0x000824F9,61,Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_string.cpp,reloc-derived;call-sites=1;identity=real
??0gslice@_STL@@QAE@ABV01@@Z,0x000B43E5,47,Code/Libraries/Source/WWVegas/WWLib/stlport_valarray_int.cpp,reloc-derived;call-sites=1;identity=real
??0BridgeScaffoldBehavior@@QAE@PAVThing@@PBVModuleData@@@Z,0x000C9D38,849,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=1;identity=real
??0LaserUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x000CA752,164,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=1;identity=real
??0AnimatedParticleSysBoneClientUpdate@@QAE@PAVThing@@PBVModuleData@@@Z,0x000D181D,67,Code/GameEngine/Source/Common/Thing/ModuleFactory.cpp,reloc-derived;call-sites=1;identity=real
?Get_Color_Array@MeshMatDescClass@@QAEPAIH_N@Z,0x000D1FBD,105,Code/Libraries/Source/WWVegas/WW3D2/dx8renderer.cpp,reloc-derived;call-sites=2;identity=real
?Resize@?$VectorClass@VTCBClass@TCBSpline3DClass@@@@UAE_NHPBVTCBClass@TCBSpline3DClass@@@Z,0x000F0BF1,227,Code/Libraries/Source/WWVegas/WWMath/tcbspline.cpp,reloc-derived;call-sites=1;identity=real
??0?$VectorClass@VKeyClass@Curve3DClass@@@@QAE@HPBVKeyClass@Curve3DClass@@@Z,0x000F0D2F,150,Code/Libraries/Source/WWVegas/WWMath/curve.cpp,reloc-derived;call-sites=1;identity=real
?clear@Member0C00739C70@@QAEXXZ,0x00116760,20,Code/GameEngine/Source/Common/Bfme/Rva00739C70Cleanup.cpp,reloc-derived;call-sites=1;identity=real
