uData	0x67c020
data\lotr.str	0x2e698b
E99E8455-CC9B-488a-BA22-0E8A8F74F9FA	0x275d
CLOUDY	0x31842a
CAN_ATTACK	0x28c819
DESTROYED	0x28c819
CATAPULT_ROCK	0x291a8c
FXParticleSystemInfo	0x1272
lotrbfme.ico	0x275d
false	0x38890,0x65df80,0x65d2d0,0x6dcac0,0x6dcb20,0x6d28d0,0x6d2930,0x6d2a60,0x6d2b70,0x6d2cb0,0x657500,0x657540,0x6758a0,0x655820,0x66f170,0x74e360,0x66c8b0,0x66c850,0x66c480,0x66c4f0,0x66c620,0x665c30,0x66ce20,0x665a70
%.2ld	0x18780
%a %b %e %H:%M:%S %Y	0x19260
0123456789abcdefx	0xd460,0xd180,0xd320,0xcf60
0123456789ABCDEFX	0xd460,0xd180,0xd320,0xcf60
ios failure	0x1bc50,0x1bf90,0x1c010,0x1c090,0x1c300
LC_MESSAGES=	0x20680
LC_MONETARY=	0x20680
LC_COLLATE=	0x20680
LC_NUMERIC=	0x20680
LC_TIME=	0x20680
LC_CTYPE=	0x20680
Unknown problem	0x5571b,0x16dd70,0x622410,0x620b70
 %s(%d): STL error : %s %s(%d): STL assertion failure:     %s  	0x23d30
%s(%d): STL assertion failure : %s 	0x23d00
 %s(%d): STL error: %s 	0x23cd0
out of memory 	0x24200
INTERNAL ERROR! scanIndexList: No name list provided!	0x2bcab
Token '%s' is not a valid member of the index list	0x2bcab,0x2bd39
INTERNAL ERROR! scanLookupList: No name list provided!	0x2bd85
Token '%s' is not a valid member of the lookup list	0x2bd85
Unknown error parsing INI block '%s' in file '%s'.	0x2db2a,0x2c1c8
%s  Error parsing INI block '%s' in file '%s'.	0x2daeb,0x2c18d
invalid boolean token %s -- expected Yes or No	0x2d14a
Unknown error parsing field '%s' in block '%s' in file '%s', line %i. 	0x2d96c
%s  Error parsing field '%s' in block '%s' in file '%s', line %i. 	0x2d904
Expected additional data after '%s'	0x2dfe2,0x2df97
Expected '%s' but found '%s'	0x2e06b,0x60c7ad
INTERNAL ERROR! parseBitString32: No flag list provided!	0x2eb38
you may not mix normal and +- ops in bitstring lists	0x3fb3b8,0x49b750,0x21aafe,0x33afbb,0x49d67f,0x3339ce,0x417c23,0xb664e,0x255d58,0x3b44ee,0x2c82c8,0x2eb38
Expected signed integer value, math op, or predefined macro, but found '%s'	0x2eccf
Expected unsigned integer value, math op, or predefined macro, but found '%s'	0x2ed3a
Expected floating point value, math op, or predefined macro, but found '%s'	0x2eda5
value out of range, expected -128..127	0x2ee22
value out of range, expected 0..255	0x2ee6d
value out of range, expected -32768..32767	0x2eeb9
value out of range, expected 0..65535	0x2ef09
value out of range, expected 0..%d	0x2ef72
invalid Real value %1.7f -- expected > 0	0x2efdc
invalid Real value %1.7f -- expected >= 0	0x2f02f
invalid Real value %1.7f -- expected <= 0	0x2f082
expected '%s'	0x2f2ff,0x2f3fe
can't omit value for color %s	0x2f2ff,0x2f3fe
GI.DAT ERROR	0x2fa40,0x2fa00
UserDataLeafName	0x2f720
OnlineServer	0x2f720
InstallerRegPath	0x2f720
GameRegPath	0x2f720
GameName	0x2f720
SkuName	0x2f720
Waiting...	0x30000
Paused	0x30000
-startPaused	0x30000
,%i,%i,%i,%i,%i,%i,%i,%i,%i,%i	0x30250
,%s core,comm,res,blocks,mmap,bytes,slack,free,waste,percent	0x30250
?_GetHeapAllocatorByIndex@MemoryPool@@YAPAVGeneralAllocator@Allocator@EA@@I@Z	0x30730
?_GetHeapAllocator@MemoryPool@@YAPAVGeneralAllocator@Allocator@EA@@I@Z	0x30730
?_AddHeap@MemoryPool@@YAXII@Z	0x30730
?_VerifyIntegrity@MemoryPool@@YAXXZ	0x30730
?_GetBlockHeap@MemoryPool@@YAIPAX@Z	0x30730
?_GetBlockSize@MemoryPool@@YAIPAXI@Z	0x30730
?_IsValidBlock@MemoryPool@@YA_NPAXI@Z	0x30730
?_Free@MemoryPool@@YAXPAXW4AllocType@1@@Z	0x30730
?_Reallocate@MemoryPool@@YAPAXPAXIW4AllocType@1@I@Z	0x30730
?_Allocate@MemoryPool@@YAPAXIW4AllocType@1@I@Z	0x30730
?_DumpFragmentation@MemoryPool@@YAXPAU_iobuf@@_NPBD@Z	0x30730
?_Exit@MemoryPool@@YAXXZ	0x30730
?_Init@MemoryPool@@YAXXZ	0x30730
attr: %s %s%c	0x31430
internal	0x31430
mapped	0x31430
data: %s%c	0x31430
size: %10u (%8x)%c	0x31430
addr: 0x%08x%c	0x31430
errors.txt	0x3aed0,0x38440,0x399c0
\errors.txt	0x38440
HResult:0x	0x38c30
 build 	0x395d0,0x3d46db
 release	0x395d0
 internal 	0x395d0
Version:	0x395d0
Fatal heap error.	0x398a0
%s(%i)	0x3a8a0,0x3ad80,0x3aed0,0x3a750,0x39a60,0x3e570
[%02i:%02i.%02i.%03i] 	0x39b70
Unknown command, help not available	0x39e20
Unknown command	0x39e20
Unknown command group 	0x39e20
%s.%s	0x39e20
Hint: The DLL got loaded as: 	0x3a250
 You are using an older version of the DBGHELP.DLL library. Please update to the newest available version in order to get reliable stack and symbol information.  	0x3a250
default.dbgcmd	0x3a250
-dbgcmd:	0x3a250
_EA_RTS_FILENAME	0x3a250,0x3fa20
debug	0x3a250
OutputDebugString function	0x3a250
Network via named pipe	0x3a250
Flat local file(s)	0x3a250
Console window	0x3a250
, expression 	0x3a750
, line 	0x3ad80,0x3a750
 Assertion failed in 	0x3a750
\code\	0x3ad80,0x3a750
Game crash	0x3a8a0,0x3aed0
Assert hit too often - turning check off. 	0x3a8a0
Assertion failed	0x3a8a0
 Because of the severity of this error the game will now exit.	0x3a8a0,0x3aed0
 (hit #	0x3a8a0,0x3aed0
, reason: 	0x3ad80
Error in 	0x3ad80
  ---------------------------------------------------------------    	0x3aed0
Error hit too often - turning check off. 	0x3aed0
Error hit	0x3aed0
NULL]	0x3b340
SymCleanup	0x6c4cd0
SymGetLineFromAddr	0x6c4cd0
SymGetSymFromAddr	0x6c4cd0
SymGetModuleBase	0x6c4cd0
SymFunctionTableAccess	0x6c4cd0
StackWalk	0x6c4cd0
SymGetOptions	0x3b850
SymInitialize	0x3b850,0x6c4cd0
SymEnumSymbolsForAddr	0x3b850
DBGHELP.DLL	0x3b850
 (invalid code addr)	0x3b9e0
, %s:%i+0x%x	0x3b9e0
, %s+0x%x	0x3b9e0
+0x%x	0x3b9e0
 (unknown module)	0x3b9e0
(inv code addr)	0x3bc80
(unknown)	0x3bc80
(unknown mod)	0x3bc80
 addresses: 	0x3bf60
SeDebugPrivilege	0x3c550
DUMP_%s_%04d%02d%02d-%02d%02d%02d_%s_%ld_%ld.dmp	0x3c550
MiniDumpWriteDump	0x3c550
EXCEPTION_MS	0x3c7a0
Microsoft C++ Exception	0x3c7a0
EXCEPTION_UNKNOWN	0x3c7a0
Unknown exception code 0x%08x	0x3c7a0
EXCEPTION_STACK_OVERFLOW	0x3c7a0
The thread used up its stack.	0x3c7a0
EXCEPTION_PRIV_INSTRUCTION	0x3c7a0
The thread tried to execute an instruction whose operation is not allowed in the current machine mode.	0x3c7a0
EXCEPTION_INT_OVERFLOW	0x3c7a0
The result of an integer operation caused a carry out of the most significant bit of the result.	0x3c7a0
EXCEPTION_INT_DIVIDE_BY_ZERO	0x3c7a0
The thread tried to divide an integer value by an integer divisor of zero.	0x3c7a0
EXCEPTION_FLT_UNDERFLOW	0x3c7a0
The exponent of a floating-point operation is less than the magnitude allowed by the corresponding type.	0x3c7a0
EXCEPTION_FLT_STACK_CHECK	0x3c7a0
The stack overflowed or underflowed as the result of a floating-point operation.	0x3c7a0
EXCEPTION_FLT_OVERFLOW	0x3c7a0
The exponent of a floating-point operation is greater than the magnitude allowed by the corresponding type.	0x3c7a0
EXCEPTION_FLT_INVALID_OPERATION	0x3c7a0
Some strange unknown floating point operation was attempted.	0x3c7a0
EXCEPTION_FLT_INEXACT_RESULT	0x3c7a0
The result of a floating-point operation cannot be represented exactly as a decimal fraction.	0x3c7a0
EXCEPTION_FLT_DIVIDE_BY_ZERO	0x3c7a0
The thread tried to divide a floating-point value by a floating-point divisor of zero.	0x3c7a0
EXCEPTION_FLT_DENORMAL_OPERAND	0x3c7a0
One of the operands in a floating-point operation is denormal. A denormal value is one that is too small to represent as a standard floating-point value.	0x3c7a0
EXCEPTION_NONCONTINUABLE_EXCEPTION	0x3c7a0
The thread tried to continue execution after a noncontinuable exception occurred.	0x3c7a0
EXCEPTION_INVALID_HANDLE	0x3c7a0
An invalid Windows handle was used.	0x3c7a0
EXCEPTION_INVALID_DISPOSITION	0x3c7a0
An exception handler returned an invalid disposition to the exception dispatcher. Programmers using a high-level language such as C should never encounter this exception.	0x3c7a0
EXCEPTION_ILLEGAL_INSTRUCTION	0x3c7a0
The thread tried to execute an invalid instruction.	0x3c7a0
EXCEPTION_ARRAY_BOUNDS_EXCEEDED	0x3c7a0
The thread tried to access an array element that is out of bounds and the underlying hardware supports bounds checking.	0x3c7a0
EXCEPTION_IN_PAGE_ERROR	0x3c7a0
The thread tried to access a page that was not present, and the system was unable to load the page. For example, this exception might occur if a network connection is lost while running a program over the network.	0x3c7a0
EXCEPTION_SINGLE_STEP	0x3c7a0
A trace trap or other single-instruction mechanism signaled that one instruction has been executed.	0x3c7a0
EXCEPTION_ACCESS_VIOLATION	0x3c7a0
The thread tried to read from or write to a virtual address for which it does not have the appropriate access. Access address 0x%08x was %s.	0x3c7a0
read from	0x3c7a0
written to	0x3c7a0
EXCEPTION_BREAKPOINT	0x3c7a0
A breakpoint was encountered.	0x3c7a0
EXCEPTION_GUARD_PAGE	0x3c7a0
A guard page was accessed.	0x3c7a0
EXCEPTION_DATATYPE_MISALIGNMENT	0x3c7a0
The thread tried to read or write data that is misaligned on hardware that does not provide alignment. For example, 16-bit values must be aligned on 2-byte boundaries; 32-bit values on 4-byte boundaries, and so on.	0x3c7a0
Exception occured at 	0x3dcd0,0x3cbc0
Cr0NpxState: 	0x3cd30
 DataSel: 	0x3cd30
DataOfs:     	0x3cd30
 ErrSel:  	0x3cd30
ErrOfs:      	0x3cd30
FP registers not available 	0x3cd30
Symbol	0x3d004
Module	0x3d004
Address	0x3d004
No stack data available - check for dbghelp.dll	0x3d004
IsDebuggerPresent	0x75a75f,0x3e3e0,0x3d004
kernel32	0x3e3e0,0x3d880,0x3d004
OpenThread	0x3d880
Flags:	0x3da20
 EBP:	0x3da20
 ESP:	0x3da20
 EDI:	0x3da20
 ESI:	0x3da20
 ECX:	0x3da20
 EBX:	0x3da20
ReportFault	0x3dcd0
faultrep.dll	0x3dcd0
Bytes around EIP:	0x3dcd0
crashmailer.exe %i %s	0x3dcd0
EA/DEBUG: EXCEPTION_STACK_OVERFLOW 	0x3dcd0
Exception in exception handler	0x3dcd0
Fatal error	0x3dcd0
msvcrt.dll	0x3e260
kernel32.dll	0x3e260
RaiseException	0x3e260
Internal assert failed	0x3e360
File %s, line %i: %s	0x3e360
CheckRemoteDebuggerPresent	0x3e3e0
Debug mem alloc failed	0x3e450,0x6c5940,0x6c5460
Debug mem realloc failed	0x3e4b0,0x6c54b0
Skip Stack Walk: 	0x3e570
Please specify mode and pattern	0x3e570
Extra error log: 	0x3e570
Full memory dump: 	0x3e570
unknown	0x3e570,0x697160,0x696dd0,0x449baa
Windowed: 	0x3e570
Serious test crash. Everything is fine.	0x3e570
fatalcrash	0x3e570
exception	0x3e570
crash	0x3e570
Timestamp: 	0x3e570
skipStackWalk	0x3e570
Always flush: 	0x3e570
(none) 	0x3e570
Active: 	0x3e570
Possible: 	0x3e570
Add I/O class first	0x3e570
remove	0x3e570
I/O class factory failed	0x3e570
I/O class already added	0x3e570
Unknown I/O class 	0x3e570
Unknown item type, see help.	0x3e570
 [off]	0x3e570
 hits)	0x3e570
Crashes: 	0x3e570
Asserts: 	0x3e570
Logs: 	0x3e570
Command groups: 	0x3e570
errors [ (+|-) ]  Enables/disables extra logging of DERRORs into errors.txt (default: on). 	0x3e570
errors	0x3e570
fulldump [ (+|-) ]  Enables/disables full memory dumps on crash (default: off). 	0x3e570
fulldump	0x3e570
windowed [ (+|-) ]  Enables/disables windowed mode thus overriding any auto-detected status. 	0x3e570
windowed	0x3e570
view [ (l|a|c) ]  Shows the active pattern for the given list (l=logs, a=asserts, c=crashes). 	0x3e570
add (l|a|c) (+|-) <pattern>  Adds a pattern to the given list (l=logs,  a=asserts, c=crashes). By default all asserts and crashes are active, all logs inactive. Each item is then checked  against all pattern in the respective list. If a match is found the active/inactive state is modified accordingly (+ for active, - for inactive). The final state is always the last match.	0x3e570
clear (l|a|c)  Clears the given inclusion/exclusion list (l=logs, a=asserts, c=crashes). 	0x3e570
clear	0x3e570
beep  Causes a beep on the internal system speaker. 	0x3e570
exit  Exits program immediately. 	0x3e570
timestamp [ (+|-) ]  Enables/disables timestamping each log entry (default: off). 	0x3e570
timestamp	0x3e570
skipstackwalk [ (+|-) ]  Enables/disables stack walk feature the log file (default: off). 	0x3e570
skipstackwalk	0x3e570
alwaysflush [ (+|-) ]  Enables/disables flushing after each new entry in the log file (default: off). 	0x3e570
alwaysflush	0x3e570
io <I/O Class> <cmd> { <param> }]  Issues a I/O class command. I/O class commands are used for determining where all log output should be sent.  Please check the list of  ef debug_ioclasses for a list of existing I/O classes.  Each existing I/O class must accept at least the following two commands: 'add' and 'remove'. Usually after a class has been added it reacts to the 'help' command as well.  If the command is entered without any parameters a list of active I/O classes is shown. Typing 'io ?' retrieves a list of possible I/O classes. 	0x3e570
list (g|l|d|a|c) [ <pattern> ]  Shows some or all items of a specific type.  The following items are supported: - g: command groups - l: log groups (only those encountered yet) - d: log groups with descriptions (only those that have descriptions) - a: asserts (only those hit yet) - c: crashes (only those failed yet)  If a pattern is specified only items matching that pattern are shown. A pattern can contain any character, letter, or a wildcard '*'.  Please note that assert and crash items have their line number appended to the current file name, e.g. debug.cpp(13). 	0x3e570
debug group help:   list, io, alwaysflush, skipstackwalk, timestamp, exit, beep, clear, add, view, windowed, fulldump, errors 	0x3e570
net I/O help:   add [ <machine> ]     create net I/O (optionally specifying the machine to connect to) 	0x3f690
Client at %s 	0x3f690
Could not connect to given machine. 	0x3f690
\\%s\pipe\ea_debug_v1	0x3f690
%04i%02i%02i-%02i%02i-%02i	0x3fa20
(%i)%s	0x3fdf0
Unknown flat I/O command	0x40160
splitremove <namepattern>  Removes all active splits matching the given name pattern.	0x40160
splitview  Shows all existing splits in the order they are evaluated.	0x40160
splitadd <types> <filter> <name> [ <size in kb> ]  Splits off part of the log data. Multiple splits can be defined. They  are written out to the first matching split file.  'types' defines one or more string types which should be split off: - a: asserts - c: crash - l: logs - x: exceptions - r: replies from commands - o: other messages   Next a filter is specified that determines which items are to be  filtered (only for string types a, c and l). Items can be listed with then 'list' command. The filter is exactly specified as in that command.  The third parameter defines a name for this split. If there is  already a split with the same name then both will write to the same  destination file.  Note: If splits are used and the filename given for 'add' is static  or does not contain 'n' or 'N' then the split name is automatically  appended to the log file name (before the extension).  If a size is specified then all data is internally written to a  fixed size memory based ring buffer. This data is flushed out once  the program exits.  If no size is given then the size of the log file is not limited and  any log data is written out immediately. 	0x40160
copy <directory>  Copies generated log file(s) into the given directory if the program exists or crashes. If there is already a log file with the same name a unique number is appended to the current log files' name. 	0x40160
add [ <filename> [ <size in kb> ] ]  Create flat file I/O (optionally specifying file name and file size). If a filename is specified all output is written to that file. Otherwise the magic filename '*eMN' is automatically used. Any existing files with that name are overwritten.  Instead of a real file name a 'magic' file name can be used by starting the file name with a '*' followed by any number of special characters: - 'e': inserts EXE name - 'm': inserts machine name - 'u': inserts username - 't': inserts timestamp - 'n': inserts split name (empty if main log file) - '-': inserts '-' - 'E', 'M', 'U', 'T', 'N': same as above but with '-' in front    (for 'N': empty if main log file) .log is automatically appended if using magic file names.  If a size is specified then all data is internally written to a fixed  size memory based ring buffer. This data is flushed out once the  program exits. If no size is given then the size of the log file is not  limited and any log data is written out immediately. 	0x40160
flat I/O help: The following I/O commands are defined:   add, copy, splitadd, splitview, splitremove Type in debug.io flat help <cmd> for a detailed command help. 	0x40160
splitremove	0x40160
splitview	0x40160
splitadd	0x40160
con I/O help:   add [ <width> [ <height> ] ]     create con I/O (optionally specifying the window size) 	0x40b50
 [debug console]	0x40c40
  EA/Debug console open  	0x40c40
CON@%08x	0x40c40
ZoomFadeFullEffectEdgeLength	0x4171a
ZoomFadeZeroEffectEdgeLength	0x4171a
ZoomFadeDistanceForMaxEffect	0x4171a
ZoomMaxDistance	0x4171a
ZoomMinDistance	0x4171a
MicrophoneMaxDistanceToCamera	0x4171a
MicrophoneMinDistanceToCamera	0x4171a
MicrophonePreferredFractionCameraToGround	0x4171a
---------------------------------------------------------------- 	0x43d0f,0x43d3c,0x43d69,0x43d96
SkirmishAIDebugDisplay should never be called directly, but is just a placeholder for drawSkirmishAIStats()	0x43d3c
AnimDebugDisplay(...) should never be called directly, but is just a placeholder for drawDebugStats()	0x43d69
NetworkDebugDisplay(...) should never be called directly, but is just a placeholder for drawDebugStats()	0x43d96
Index out of range in SubTitleManager::GetText().	0x46906
sshot%.4d	0x47bc0
Padded Cell	0x50f7d
<Unknown>	0x1deb8a,0x50f7d
Mono Delay Filter	0x5178d
Data\INI\AudioSettings.ini	0x5407e
Data\INI\Default\AmbientStream.ini	0x540a7
Data\INI\Default\SoundEffects.ini	0x540a7
Data\INI\Default\Speech.ini	0x540a7
Data\INI\Default\Music.ini	0x540a7
Data\INI\MiscAudio.ini	0x54120
Data\INI\AmbientStream.ini	0x54120
Data\INI\Voice.ini	0x54120
Data\INI\Speech.ini	0x54120
Data\INI\SoundEffects.ini	0x54120
Data\INI\Music.ini	0x54120
Set must be empty on load	0xbc559,0x2f1cdd,0x2e208a
std::set	0xbc559,0x2f1cdd,0x2e208a
Vector must be empty on load	0x4facd0,0x398280,0x5334db,0x3f2c0c,0x3f2394,0x390911,0x3f5a72,0x46efdb,0x40e19d,0x40e269,0x1eca2d,0x60c253
std::vector	0x4facd0,0x398280,0x5334db,0x3f2c0c,0x3f2394,0x390911,0x3f5a72,0x46efdb,0x40e19d,0x40e269,0x1eca2d,0x60c253
Mono Delay Mix	0x5ba08
Mono Delay	0x5ba08
Mono Delay Time	0x5ba08
Map must be empty on load	0x473fd4,0x470222,0x35552a,0x35568f,0x54755b
std::map	0x473fd4,0x470222
W3DDefaultDraw	0x290efe
HardwareFog	0x693ae,0x146f50
shaders\Glow.pso	0x77f80
shaders\Glow.vso	0x77f80
data/editor/molds/%s	0x7846f
%sMapPreviews/	0x7846f
Art/Textures/	0x7846f
Art/CompiledTextures/	0x7846f
Art/W3D/	0x7846f
(NULL)	0x7a706,0x789a0
ShadowMap	0x14ff57
PCAWater_M	0x7ffed
PCAWater	0x7ffed
MinWaterOpacity	0x7ffed
TransparentWaterDepth	0x7ffed
BlendUsingTerrainAlpha	0x7ffed
ReflectionTexture	0x7ffed
Bases811Z	0x80e30,0x806f3
Bases811Y	0x80e30,0x806f3
