vtable_rva	label	slot	func_rva	func_name
0x7BB5C8	`vftable'	1	0xB3FD0	~Coord2D
0x7BB5C8	`vftable'	2	0x1272	GetSnapshotName
0x7BB5C8	`vftable'	3	0x1F4F5A	DoXfer
0x7BB910	`vftable'	1	0x47A699	IsCRC
0x7BB910	`vftable'	2	0x47A699	IsCRC
0x7BB910	`vftable'	3	0x47A699	IsCRC
0x7BB910	`vftable'	4	0x47A699	IsCRC
0x7E1548	`vftable'	1	0xB3FD0	~Coord2D
0x7E1548	`vftable'	2	0x1F354A	GetSnapshotName
0x7E1548	`vftable'	3	0x47A69C	DoXfer
0x7E1584	`vftable'	1	0xB3FD0	~Coord2D
0x7E1584	`vftable'	2	0x1F35BF	GetSnapshotName
0x7E1584	`vftable'	3	0x47A69C	DoXfer
0x7E15A4	`vftable'	1	0xB3FD0	~Coord2D
0x7E15A4	`vftable'	2	0x1F35D9	GetSnapshotName
0x7E15A4	`vftable'	3	0x3A547E	DoXfer
0x7E15A4	`vftable'	4	0x4A10FD	FUN_008a10fd
0x7E15A4	`vftable'	5	0xB3FD0	~Coord2D
0x7E16D8	`vftable'	1	0xB3FD0	~Coord2D
0x7E16D8	`vftable'	2	0x1F35D9	GetSnapshotName
0x7E16D8	`vftable'	3	0x3A547E	DoXfer
0x7E16D8	`vftable'	4	0x1F45C3	FUN_005f45c3
0x7E16D8	`vftable'	5	0x1F69B1	FUN_005f69b1
0x7E16D8	`vftable'	6	0x1F45C3	FUN_005f45c3
0x7E16D8	`vftable'	7	0x1F73D5	FUN_005f73d5
0x7E16D8	`vftable'	8	0x1F45C3	FUN_005f45c3
0x7E16D8	`vftable'	9	0x1F7740	FUN_005f7740
0x7E1A28	`vftable'	1	0xB3FD0	~Coord2D
0x7E1A28	`vftable'	2	0x1272	GetSnapshotName
0x7E1A28	`vftable'	3	0x1F4F5A	DoXfer
0x7E1A28	`vftable'	4	0x1FC3A3	FUN_005fc3a3
0x7E1A28	`vftable'	5	0x1F6201	FUN_005f6201
0x81BA60	`vftable'	1	0xB3FD0	~Coord2D
0x81BA60	`vftable'	2	0x3A611B	GetSnapshotName
0x81BA60	`vftable'	3	0x55B266	DoXfer
0x81BA80	`vftable'	1	0xB3FD0	~Coord2D
0x81BA80	`vftable'	2	0x3A611B	GetSnapshotName
0x81BA80	`vftable'	3	0x55B266	DoXfer
0x81BA90	`vftable'	1	0xB3FD0	~Coord2D
0x81BA90	`vftable'	2	0x3A6121	GetSnapshotName
0x81BA90	`vftable'	3	0x55B8CD	DoXfer
0x81BAB0	`vftable'	1	0xB3FD0	~Coord2D
0x81BAB0	`vftable'	2	0x3A6121	GetSnapshotName
0x81BAB0	`vftable'	3	0x55B8CD	DoXfer
0x81BAC0	`vftable'	1	0xB3FD0	~Coord2D
0x81BAC0	`vftable'	2	0x3A6127	GetSnapshotName
0x81BAC0	`vftable'	3	0x306A9B	DoXfer
0x81BAD0	`vftable'	1	0xB3FD0	~Coord2D
0x81BAD0	`vftable'	2	0x3A6127	GetSnapshotName
0x81BAD0	`vftable'	3	0x306A9B	DoXfer
0x81BAE0	`vftable'	1	0xB3FD0	~Coord2D
0x81BAE0	`vftable'	2	0x1F354A	GetSnapshotName
0x81BAE0	`vftable'	3	0x47A69C	DoXfer
0x81BB00	`vftable'	1	0xB3FD0	~Coord2D
0x81BB00	`vftable'	2	0x1F354A	GetSnapshotName
0x81BB00	`vftable'	3	0x47A69C	DoXfer
0x81BB10	`vftable'	1	0xB3FD0	~Coord2D
0x81BB10	`vftable'	2	0x1F354A	GetSnapshotName
0x81BB10	`vftable'	3	0x47A69C	DoXfer
0x81BB30	`vftable'	1	0xB3FD0	~Coord2D
0x81BB30	`vftable'	2	0x1F354A	GetSnapshotName
0x81BB30	`vftable'	3	0x47A69C	DoXfer
0x81BB40	`vftable'	1	0xB3FD0	~Coord2D
0x81BB40	`vftable'	2	0x1F354A	GetSnapshotName
0x81BB40	`vftable'	3	0x47A69C	DoXfer
0x81BB60	`vftable'	1	0xB3FD0	~Coord2D
0x81BB60	`vftable'	2	0x1F354A	GetSnapshotName
0x81BB60	`vftable'	3	0x47A69C	DoXfer
0x81BB70	`vftable'	1	0xB3FD0	~Coord2D
0x81BB70	`vftable'	2	0x1F354A	GetSnapshotName
0x81BB70	`vftable'	3	0x47A69C	DoXfer
0x81BBA0	`vftable'	1	0xB3FD0	~Coord2D
0x81BBA0	`vftable'	2	0x1F354A	GetSnapshotName
0x81BBA0	`vftable'	3	0x47A69C	DoXfer
0x81BBC0	`vftable'	1	0xB3FD0	~Coord2D
0x81BBC0	`vftable'	2	0x1F354A	GetSnapshotName
0x81BBC0	`vftable'	3	0x47A69C	DoXfer
0x81BBD0	`vftable'	1	0xB3FD0	~Coord2D
0x81BBD0	`vftable'	2	0x1F354A	GetSnapshotName
0x81BBD0	`vftable'	3	0x47A69C	DoXfer
0x81BBF0	`vftable'	1	0xB3FD0	~Coord2D
0x81BBF0	`vftable'	2	0x1F354A	GetSnapshotName
0x81BBF0	`vftable'	3	0x47A69C	DoXfer
0x81BC00	`vftable'	1	0xB3FD0	~Coord2D
0x81BC00	`vftable'	2	0x1F35BF	GetSnapshotName
0x81BC00	`vftable'	3	0x47A69C	DoXfer
0x81BC20	`vftable'	1	0xB3FD0	~Coord2D
0x81BC20	`vftable'	2	0x1F35BF	GetSnapshotName
0x81BC20	`vftable'	3	0x47A69C	DoXfer
0x81BC30	`vftable'	1	0xB3FD0	~Coord2D
0x81BC30	`vftable'	2	0x1F35BF	GetSnapshotName
0x81BC30	`vftable'	3	0x47A69C	DoXfer
0x81BC50	`vftable'	1	0xB3FD0	~Coord2D
0x81BC50	`vftable'	2	0x1F35BF	GetSnapshotName
0x81BC50	`vftable'	3	0x47A69C	DoXfer
0x81BC80	`vftable'	1	0xB3FD0	~Coord2D
0x81BC80	`vftable'	2	0x1F35BF	GetSnapshotName
0x81BC80	`vftable'	3	0x47A69C	DoXfer
0x81BC90	`vftable'	1	0xB3FD0	~Coord2D
0x81BC90	`vftable'	2	0x1F35BF	GetSnapshotName
0x81BC90	`vftable'	3	0x47A69C	DoXfer
0x81BCB0	`vftable'	1	0xB3FD0	~Coord2D
0x81BCB0	`vftable'	2	0x3A612D	GetSnapshotName
0x81BCB0	`vftable'	3	0x55EECB	DoXfer
0x81BCD0	`vftable'	1	0xB3FD0	~Coord2D
0x81BCD0	`vftable'	2	0x3A612D	GetSnapshotName
0x81BCD0	`vftable'	3	0x55EECB	DoXfer
0x81BCE0	`vftable'	1	0xB3FD0	~Coord2D
0x81BCE0	`vftable'	2	0x3A6133	GetSnapshotName
0x81BCE0	`vftable'	3	0x55F67C	DoXfer
0x81BD00	`vftable'	1	0xB3FD0	~Coord2D
0x81BD00	`vftable'	2	0x3A6133	GetSnapshotName
0x81BD00	`vftable'	3	0x55F67C	DoXfer
0x81BD10	`vftable'	1	0xB3FD0	~Coord2D
0x81BD10	`vftable'	2	0x3A613F	GetSnapshotName
0x81BD10	`vftable'	3	0x306A9B	DoXfer
0x81BD20	`vftable'	1	0xB3FD0	~Coord2D
0x81BD20	`vftable'	2	0x3A613F	GetSnapshotName
0x81BD20	`vftable'	3	0x306A9B	DoXfer
0x81BD30	`vftable'	1	0xB3FD0	~Coord2D
0x81BD30	`vftable'	2	0x3A6145	GetSnapshotName
0x81BD30	`vftable'	3	0x306A9B	DoXfer
0x81BD40	`vftable'	1	0xB3FD0	~Coord2D
0x81BD40	`vftable'	2	0x3A6145	GetSnapshotName
0x81BD40	`vftable'	3	0x306A9B	DoXfer
0x81BD50	`vftable'	1	0xB3FD0	~Coord2D
0x81BD50	`vftable'	2	0x3A614B	GetSnapshotName
0x81BD50	`vftable'	3	0x306A9B	DoXfer
0x81BD70	`vftable'	1	0xB3FD0	~Coord2D
0x81BD70	`vftable'	2	0x3A614B	GetSnapshotName
0x81BD70	`vftable'	3	0x306A9B	DoXfer
0x81BD80	`vftable'	1	0xB3FD0	~Coord2D
0x81BD80	`vftable'	2	0x3A6157	GetSnapshotName
0x81BD80	`vftable'	3	0x5614D9	DoXfer
0x81BDA0	`vftable'	1	0xB3FD0	~Coord2D
0x81BDA0	`vftable'	2	0x3A6157	GetSnapshotName
0x81BDA0	`vftable'	3	0x5614D9	DoXfer
0x81BDB0	`vftable'	1	0xB3FD0	~Coord2D
0x81BDB0	`vftable'	2	0x3A6163	GetSnapshotName
0x81BDB0	`vftable'	3	0x562182	DoXfer
0x81BDD0	`vftable'	1	0xB3FD0	~Coord2D
0x81BDD0	`vftable'	2	0x3A6163	GetSnapshotName
0x81BDD0	`vftable'	3	0x562182	DoXfer
0x81BDD0	`vftable'	4	0x3AA3A6	createTemplate
0x81BDD0	`vftable'	5	0x3AA3F4	createTemplate
0x81BDD0	`vftable'	6	0x3AA451	createTemplate
0x81BDD0	`vftable'	7	0x3AA49F	createTemplate
0x81BDD0	`vftable'	8	0x3AA4FC	createTemplate
0x81BDD0	`vftable'	9	0x3AA54A	createTemplate
0x81BDD0	`vftable'	10	0x3AC35B	createTemplate
0x81BDD0	`vftable'	11	0x3AC3A9	createTemplate
0x81BDD0	`vftable'	12	0x3AA5D2	createTemplate
0x81BDD0	`vftable'	13	0x3AA620	createTemplate
0x81BDD0	`vftable'	14	0x3AC3DB	createTemplate
0x81BDD0	`vftable'	15	0x3AC429	createTemplate
0x81BDE0	`vftable'	0	0x3AA3A6	createTemplate
0x81BDE0	`vftable'	1	0x3AA3F4	createTemplate
0x81BDE0	`vftable'	2	0x3AA451	createTemplate
0x81BDE0	`vftable'	3	0x3AA49F	createTemplate
0x81BDE0	`vftable'	4	0x3AA4FC	createTemplate
0x81BDE0	`vftable'	5	0x3AA54A	createTemplate
0x81BDE0	`vftable'	6	0x3AC35B	createTemplate
0x81BDE0	`vftable'	7	0x3AC3A9	createTemplate
0x81BDE0	`vftable'	8	0x3AA5D2	createTemplate
0x81BDE0	`vftable'	9	0x3AA620	createTemplate
0x81BDE0	`vftable'	10	0x3AC3DB	createTemplate
0x81BDE0	`vftable'	11	0x3AC429	createTemplate
0x81BDE8	`vftable'	0	0x3AA451	createTemplate
0x81BDE8	`vftable'	1	0x3AA49F	createTemplate
0x81BDE8	`vftable'	2	0x3AA4FC	createTemplate
0x81BDE8	`vftable'	3	0x3AA54A	createTemplate
0x81BDE8	`vftable'	4	0x3AC35B	createTemplate
0x81BDE8	`vftable'	5	0x3AC3A9	createTemplate
0x81BDE8	`vftable'	6	0x3AA5D2	createTemplate
0x81BDE8	`vftable'	7	0x3AA620	createTemplate
0x81BDE8	`vftable'	8	0x3AC3DB	createTemplate
0x81BDE8	`vftable'	9	0x3AC429	createTemplate
0x81BDF0	`vftable'	0	0x3AA4FC	createTemplate
0x81BDF0	`vftable'	1	0x3AA54A	createTemplate
0x81BDF0	`vftable'	2	0x3AC35B	createTemplate
0x81BDF0	`vftable'	3	0x3AC3A9	createTemplate
0x81BDF0	`vftable'	4	0x3AA5D2	createTemplate
0x81BDF0	`vftable'	5	0x3AA620	createTemplate
0x81BDF0	`vftable'	6	0x3AC3DB	createTemplate
0x81BDF0	`vftable'	7	0x3AC429	createTemplate
0x81BDF8	`vftable'	0	0x3AC35B	createTemplate
0x81BDF8	`vftable'	1	0x3AC3A9	createTemplate
0x81BDF8	`vftable'	2	0x3AA5D2	createTemplate
0x81BDF8	`vftable'	3	0x3AA620	createTemplate
0x81BDF8	`vftable'	4	0x3AC3DB	createTemplate
0x81BDF8	`vftable'	5	0x3AC429	createTemplate
0x81BE00	`vftable'	0	0x3AA5D2	createTemplate
0x81BE00	`vftable'	1	0x3AA620	createTemplate
0x81BE00	`vftable'	2	0x3AC3DB	createTemplate
0x81BE00	`vftable'	3	0x3AC429	createTemplate
0x81BE08	`vftable'	0	0x3AC3DB	createTemplate
0x81BE08	`vftable'	1	0x3AC429	createTemplate
0x81BE10	`vftable'	1	0xB3FD0	~Coord2D
0x81BE10	`vftable'	2	0x3A6127	GetSnapshotName
0x81BE10	`vftable'	3	0x306A9B	DoXfer
0x81BE20	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3A8A02	clone
0x81BE20	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3AD6DF	createModule
0x81BE20	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x5613F9	writeINI
0x81BE30	`vftable'	1	0xB3FD0	~Coord2D
0x81BE30	`vftable'	2	0x3A613F	GetSnapshotName
0x81BE30	`vftable'	3	0x306A9B	DoXfer
0x81BE40	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3A8A1F	clone
0x81BE40	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3AD71B	createModule
0x81BE40	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x5613F9	writeINI
0x81BE50	`vftable'	1	0xB3FD0	~Coord2D
0x81BE50	`vftable'	2	0x3A6145	GetSnapshotName
0x81BE50	`vftable'	3	0x306A9B	DoXfer
0x81BE60	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3A8A3C	clone
0x81BE60	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3AD757	createModule
0x81BE60	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x5613F9	writeINI
0x81BE70	`vftable'	1	0xB3FD0	~Coord2D
0x81BE70	`vftable'	2	0x3A614B	GetSnapshotName
0x81BE70	`vftable'	3	0x306A9B	DoXfer
0x81BE80	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3A8A59	clone
0x81BE80	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3AD793	createModule
0x81BE80	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x5613F9	writeINI
0x81BE90	`vftable'	1	0xB3FD0	~Coord2D
0x81BE90	`vftable'	2	0x3A6157	GetSnapshotName
0x81BE90	`vftable'	3	0x5614D9	DoXfer
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	1	0x3A8A76	clone
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	2	0x3AD80B	createModule
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	3	0x561DB3	writeINI
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	4	0x3AAFA2	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	5	0x3AAFF3	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	6	0x3AC857	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	7	0x3AC8A5	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	8	0x3AB129	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	9	0x3AB177	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	10	0x3AB1D4	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	11	0x3AB222	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	12	0x3AB27F	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	13	0x3AB2CD	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	14	0x3AB32A	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	15	0x3AB378	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	16	0x3AB45D	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	17	0x3AB4A4	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	18	0x3AB4E5	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	19	0x3AB52C	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	20	0x3AB56D	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	21	0x3AB5B4	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	22	0x3AB5F5	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	23	0x3AB63C	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	24	0x3AB67D	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	25	0x3AB6CE	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	26	0x3AB72E	createTemplate
0x81BEA0	`vftable'{for_`FXParticleSystem::ModuleTemplate'}	27	0x3AB77C	createTemplate
0x81BEB0	`vftable'	0	0x3AAFA2	createTemplate
0x81BEB0	`vftable'	1	0x3AAFF3	createTemplate
0x81BEB0	`vftable'	2	0x3AC857	createTemplate
0x81BEB0	`vftable'	3	0x3AC8A5	createTemplate
0x81BEB0	`vftable'	4	0x3AB129	createTemplate
0x81BEB0	`vftable'	5	0x3AB177	createTemplate
0x81BEB0	`vftable'	6	0x3AB1D4	createTemplate
0x81BEB0	`vftable'	7	0x3AB222	createTemplate
0x81BEB0	`vftable'	8	0x3AB27F	createTemplate
0x81BEB0	`vftable'	9	0x3AB2CD	createTemplate
0x81BEB0	`vftable'	10	0x3AB32A	createTemplate
0x81BEB0	`vftable'	11	0x3AB378	createTemplate
0x81BEB0	`vftable'	12	0x3AB45D	createTemplate
0x81BEB0	`vftable'	13	0x3AB4A4	createTemplate
0x81BEB0	`vftable'	14	0x3AB4E5	createTemplate
0x81BEB0	`vftable'	15	0x3AB52C	createTemplate
0x81BEB0	`vftable'	16	0x3AB56D	createTemplate
0x81BEB0	`vftable'	17	0x3AB5B4	createTemplate
0x81BEB0	`vftable'	18	0x3AB5F5	createTemplate
0x81BEB0	`vftable'	19	0x3AB63C	createTemplate
0x81BEB0	`vftable'	20	0x3AB67D	createTemplate
0x81BEB0	`vftable'	21	0x3AB6CE	createTemplate
0x81BEB0	`vftable'	22	0x3AB72E	createTemplate
0x81BEB0	`vftable'	23	0x3AB77C	createTemplate
0x81BEB8	`vftable'	0	0x3AC857	createTemplate
0x81BEB8	`vftable'	1	0x3AC8A5	createTemplate
0x81BEB8	`vftable'	2	0x3AB129	createTemplate
0x81BEB8	`vftable'	3	0x3AB177	createTemplate
0x81BEB8	`vftable'	4	0x3AB1D4	createTemplate
0x81BEB8	`vftable'	5	0x3AB222	createTemplate
0x81BEB8	`vftable'	6	0x3AB27F	createTemplate
0x81BEB8	`vftable'	7	0x3AB2CD	createTemplate
0x81BEB8	`vftable'	8	0x3AB32A	createTemplate
0x81BEB8	`vftable'	9	0x3AB378	createTemplate
0x81BEB8	`vftable'	10	0x3AB45D	createTemplate
0x81BEB8	`vftable'	11	0x3AB4A4	createTemplate
0x81BEB8	`vftable'	12	0x3AB4E5	createTemplate
0x81BEB8	`vftable'	13	0x3AB52C	createTemplate
0x81BEB8	`vftable'	14	0x3AB56D	createTemplate
0x81BEB8	`vftable'	15	0x3AB5B4	createTemplate
0x81BEB8	`vftable'	16	0x3AB5F5	createTemplate
0x81BEB8	`vftable'	17	0x3AB63C	createTemplate
0x81BEB8	`vftable'	18	0x3AB67D	createTemplate
0x81BEB8	`vftable'	19	0x3AB6CE	createTemplate
0x81BEB8	`vftable'	20	0x3AB72E	createTemplate
0x81BEB8	`vftable'	21	0x3AB77C	createTemplate
0x81BEC0	`vftable'	0	0x3AB129	createTemplate
0x81BEC0	`vftable'	1	0x3AB177	createTemplate
0x81BEC0	`vftable'	2	0x3AB1D4	createTemplate
0x81BEC0	`vftable'	3	0x3AB222	createTemplate
0x81BEC0	`vftable'	4	0x3AB27F	createTemplate
0x81BEC0	`vftable'	5	0x3AB2CD	createTemplate
0x81BEC0	`vftable'	6	0x3AB32A	createTemplate
0x81BEC0	`vftable'	7	0x3AB378	createTemplate
0x81BEC0	`vftable'	8	0x3AB45D	createTemplate
0x81BEC0	`vftable'	9	0x3AB4A4	createTemplate
0x81BEC0	`vftable'	10	0x3AB4E5	createTemplate
0x81BEC0	`vftable'	11	0x3AB52C	createTemplate
0x81BEC0	`vftable'	12	0x3AB56D	createTemplate
0x81BEC0	`vftable'	13	0x3AB5B4	createTemplate
0x81BEC0	`vftable'	14	0x3AB5F5	createTemplate
0x81BEC0	`vftable'	15	0x3AB63C	createTemplate
0x81BEC0	`vftable'	16	0x3AB67D	createTemplate
0x81BEC0	`vftable'	17	0x3AB6CE	createTemplate
0x81BEC0	`vftable'	18	0x3AB72E	createTemplate
0x81BEC0	`vftable'	19	0x3AB77C	createTemplate
